version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D4;D5;D6;D9;D11;D13
0.2;05914000;13.09.2020;OB-Wahl;1011;1011 Volkspark;;1112;181;0;1293;161;0;2;159;55;58;10;8;21;1;1;5
0.2;05914000;13.09.2020;OB-Wahl;1012;1012 Theater;;939;177;0;1116;202;0;3;199;55;84;12;10;27;3;1;7
0.2;05914000;13.09.2020;OB-Wahl;1013;1013 Friedrich-Ebert-Platz / Kunstquartier;;1108;218;0;1326;229;0;5;224;65;74;33;19;20;0;4;9
0.2;05914000;13.09.2020;OB-Wahl;1014;1014 Kratzkopf;;1118;197;0;1315;184;0;1;183;47;82;15;6;21;1;0;11
0.2;05914000;13.09.2020;OB-Wahl;1021;1021 Volmeaue;;906;204;0;1110;193;2;4;189;47;92;11;10;21;2;0;6
0.2;05914000;13.09.2020;OB-Wahl;1022;1022 Funckepark;;754;242;0;996;238;1;9;229;47;121;18;4;27;2;0;10
0.2;05914000;13.09.2020;OB-Wahl;1023;1023 Yorckstr.;;767;155;0;922;175;0;3;172;44;75;22;10;13;0;0;8
0.2;05914000;13.09.2020;OB-Wahl;1024;1024 Funckestr.;;850;212;0;1062;276;0;6;270;72;127;22;5;34;4;0;6
0.2;05914000;13.09.2020;OB-Wahl;1025;1025 Am Ischeland;;651;263;0;914;196;1;1;195;34;111;10;1;29;1;2;7
0.2;05914000;13.09.2020;OB-Wahl;1031;1031 Adolf- / Sedanstr.;;1274;169;0;1443;93;0;0;93;28;32;9;6;13;1;0;4
0.2;05914000;13.09.2020;OB-Wahl;1032;1032 Brink- / Altenhagener Str.;;1015;177;0;1192;135;0;6;129;44;34;12;10;20;1;1;7
0.2;05914000;13.09.2020;OB-Wahl;1033;1033 St.-Josefs-Hospital;;1165;212;0;1377;180;4;4;176;50;76;11;2;31;0;0;6
0.2;05914000;13.09.2020;OB-Wahl;1034;1034 Kinkelstraße;;1009;213;0;1222;259;1;6;253;74;112;14;10;26;3;0;14
0.2;05914000;13.09.2020;OB-Wahl;1041;1041 Zur Heide;;1029;194;0;1223;333;3;8;325;73;179;17;12;31;2;1;10
0.2;05914000;13.09.2020;OB-Wahl;1042;1042 Alexander- / Alleestr.;;1254;108;0;1362;127;2;2;125;45;36;6;5;26;0;2;5
0.2;05914000;13.09.2020;OB-Wahl;1043;1043 Ginsterheide;;992;210;0;1202;231;1;9;222;66;106;10;10;24;0;0;6
0.2;05914000;13.09.2020;OB-Wahl;1044;1044 Polizeipräsidium;;993;260;0;1253;174;6;7;167;38;75;11;8;30;1;0;4
0.2;05914000;13.09.2020;OB-Wahl;1051;1051 Höing;;835;352;0;1187;390;0;9;381;70;245;22;9;29;1;0;5
0.2;05914000;13.09.2020;OB-Wahl;1052;1052 Fleyer Str.;;785;457;0;1242;352;2;3;349;62;233;17;4;25;0;0;8
0.2;05914000;13.09.2020;OB-Wahl;1053;1053 Tondernsiedlung;;610;263;0;873;265;4;1;264;54;146;22;5;32;1;0;4
0.2;05914000;13.09.2020;OB-Wahl;1054;1054 Lützowstr.;;675;292;0;967;294;2;8;286;47;187;21;8;14;1;0;8
0.2;05914000;13.09.2020;OB-Wahl;1055;1055 Bredelle;;889;420;0;1309;426;3;3;423;64;267;30;5;40;3;1;13
0.2;05914000;13.09.2020;OB-Wahl;1061;1061 Walddorfstr.;;912;449;0;1361;361;0;5;356;84;213;20;4;30;0;0;5
0.2;05914000;13.09.2020;OB-Wahl;1062;1062 Ascherothstr.;;934;420;0;1354;389;4;6;383;95;223;12;11;34;0;0;8
0.2;05914000;13.09.2020;OB-Wahl;1063;1063 Boloh;;881;301;0;1182;406;3;18;388;100;207;24;9;35;4;0;9
0.2;05914000;13.09.2020;OB-Wahl;1064;1064 Haferkamp;;798;259;0;1057;332;0;8;324;83;180;18;10;19;1;1;12
