version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D6;D7;D9
0.2;05366004;13.09.2020;Landratswahl NRW;01.1;01.1 Arloff;13.09.2020 20:00:00;712;271;0;983;367;0;3;364;157;155;20;17;9;6
0.2;05366004;13.09.2020;Landratswahl NRW;01.2;01.2 Briefwahlbezirk Arloff;13.09.2020 19:15:29;0;0;0;0;255;255;1;254;116;96;23;11;7;1
0.2;05366004;13.09.2020;Landratswahl NRW;02.1;02.1 Kirspenich;13.09.2020 20:00:00;783;339;0;1122;294;0;3;291;105;121;34;23;4;4
0.2;05366004;13.09.2020;Landratswahl NRW;02.2;02.2 Briefwahlbezirk Kirspenich;13.09.2020 19:37:16;0;0;0;0;306;306;2;304;127;130;30;5;4;8
0.2;05366004;13.09.2020;Landratswahl NRW;03.1;03.1 Iversheim I, Kalkar;13.09.2020 18:51:31;650;355;0;1005;266;0;3;263;83;127;26;12;12;3
0.2;05366004;13.09.2020;Landratswahl NRW;03.2;03.2 Briefwahlbezirk Iversheim I, Kalkar;13.09.2020 20:40:20;0;0;0;0;327;327;2;325;142;120;21;18;9;15
0.2;05366004;13.09.2020;Landratswahl NRW;04.1;04.1 Iversheim II, Eschweiler;13.09.2020 19:06:30;621;318;0;939;226;0;5;221;77;94;26;9;10;5
0.2;05366004;13.09.2020;Landratswahl NRW;04.2;04.2 Briefwahlbezirk Iversheim II, Eschweiler;13.09.2020 19:41:35;0;0;0;0;281;281;2;279;108;130;18;12;4;7
0.2;05366004;13.09.2020;Landratswahl NRW;05.1;05.1 Nöthen, Hohn;13.09.2020 20:00:00;594;415;0;1009;312;0;4;308;95;171;21;10;1;10
0.2;05366004;13.09.2020;Landratswahl NRW;05.2;05.2 Briefwahlbezirk Nöthen, Hohn;13.09.2020 19:07:26;0;0;0;0;394;394;5;389;131;181;37;20;7;13
